"Photon energy (eV)"	"Reflectivity"
8959.45	1.09194E-11
8969.36	1.06997E-11
8979.27	1.04848E-11
8989.18	1.02745E-11
8999.09	1.00686E-11
9009	9.86695E-12
9018.91	9.66923E-12
9028.82	9.47574E-12
9038.73	9.28643E-12
9048.64	9.10109E-12
9058.55	8.91968E-12
9068.46	8.74217E-12
9078.37	8.56835E-12
9088.28	8.39824E-12
9098.19	8.23176E-12
9108.1	8.06874E-12
9118.01	7.9092E-12
9127.92	7.75298E-12
9137.83	7.60009E-12
9147.74	7.45036E-12
9157.65	7.30351E-12
9167.56	7.15962E-12
9177.47	7.01871E-12
9187.38	6.88079E-12
9197.29	6.74571E-12
9207.2	6.61344E-12
9217.11	6.484E-12
9227.02	6.35722E-12
9236.93	6.23306E-12
9246.84	6.11148E-12
9256.75	5.99245E-12
9266.66	5.87586E-12
9276.57	5.76169E-12
9286.48	5.64991E-12
9296.39	5.54041E-12
9306.3	5.43291E-12
9316.21	5.32754E-12
9326.12	5.22433E-12
9336.03	5.12325E-12
9345.94	5.02425E-12
9355.85	4.92729E-12
9365.76	4.83233E-12
9375.67	4.73932E-12
9385.58	4.64817E-12
9395.49	4.55893E-12
9405.4	4.47149E-12
9415.31	4.38585E-12
9425.22	4.30197E-12
9435.13	4.21974E-12
9445.04	4.13923E-12
9454.95	4.06017E-12
9464.86	3.98259E-12
9474.77	3.9066E-12
9484.68	3.83212E-12
9494.59	3.75917E-12
9504.5	3.68767E-12
9514.41	3.61765E-12
9524.32	3.54904E-12
9534.23	3.4818E-12
9544.14	3.41592E-12
9554.05	3.35136E-12
9563.96	3.28809E-12
9573.87	3.22609E-12
9583.78	3.16535E-12
9593.69	3.10583E-12
9603.6	3.04746E-12
9613.51	2.99005E-12
9623.42	2.93375E-12
9633.33	2.87863E-12
9643.24	2.82457E-12
9653.15	2.77163E-12
9663.06	2.71972E-12
9672.97	2.66884E-12
9682.88	2.61896E-12
9692.79	2.5701E-12
9702.7	2.52219E-12
9712.61	2.47524E-12
9722.52	2.42922E-12
9732.43	2.3841E-12
9742.34	2.33987E-12
9752.25	2.29652E-12
9762.16	2.25392E-12
9772.07	2.21204E-12
9781.98	2.17101E-12
9791.89	2.13077E-12
9801.8	2.09134E-12
9811.71	2.05267E-12
9821.62	2.01475E-12
9831.53	1.9776E-12
9841.44	1.94116E-12
9851.35	1.90545E-12
9861.26	1.87042E-12
9871.17	1.83607E-12
9881.08	1.80241E-12
9890.99	1.76939E-12
9900.9	1.73702E-12
9910.81	1.70527E-12
9920.72	1.67405E-12
9930.63	1.64335E-12
9940.54	1.61326E-12
9950.45	1.58374E-12
9960.36	1.5548E-12
9970.27	1.52642E-12
9980.18	1.49859E-12
9990.09	1.47129E-12
10000	1.44453E-12
