"Photon energy (eV)"    "Reflectivity"
           0.575687  4.055945e-01
           0.576684  4.056916e-01
           0.577681  4.057875e-01
           0.578678  4.058841e-01
           0.579676  4.059749e-01
           0.580673  4.060601e-01
           0.581670  4.061400e-01
           0.582668  4.062147e-01
           0.583665  4.062890e-01
           0.584662  4.063609e-01
           0.585660  4.064282e-01
           0.586657  4.064909e-01
           0.587654  4.065493e-01
           0.588651  4.066034e-01
           0.589649  4.066581e-01
           0.590646  4.067099e-01
           0.591643  4.067578e-01
           0.592641  4.068018e-01
           0.593638  4.068421e-01
           0.594635  4.068787e-01
           0.595633  4.069158e-01
           0.596630  4.069499e-01
           0.597627  4.069806e-01
           0.598625  4.070078e-01
           0.599622  4.070316e-01
           0.600619  4.070521e-01
           0.601616  4.070726e-01
           0.602614  4.070901e-01
           0.603611  4.071043e-01
           0.604608  4.071153e-01
           0.605606  4.071232e-01
           0.606603  4.071279e-01
           0.607600  4.071327e-01
           0.608598  4.071346e-01
           0.609595  4.071334e-01
           0.610592  4.071291e-01
           0.611589  4.071216e-01
           0.612587  4.071109e-01
           0.613584  4.070968e-01
           0.614581  4.070794e-01
           0.615579  4.070587e-01
           0.616576  4.070348e-01
           0.617573  4.070075e-01
           0.618571  4.069769e-01
           0.619568  4.069417e-01
           0.620565  4.069025e-01
           0.621562  4.068598e-01
           0.622560  4.068133e-01
           0.623557  4.067629e-01
           0.624554  4.067085e-01
           0.625552  4.066472e-01
           0.626549  4.065787e-01
           0.627546  4.065059e-01
           0.628544  4.064285e-01
           0.629541  4.063461e-01
           0.630538  4.062582e-01
           0.631536  4.061588e-01
           0.632533  4.060331e-01
           0.633530  4.059029e-01
           0.634527  4.057689e-01
           0.635525  4.056317e-01
           0.636522  4.054921e-01
           0.637519  4.053506e-01
           0.638517  4.051570e-01
           0.639514  4.049591e-01
           0.640511  4.047680e-01
           0.641509  4.045878e-01
           0.642506  4.044225e-01
           0.643503  4.042588e-01
           0.644500  4.041004e-01
           0.645498  4.039940e-01
           0.646495  4.039115e-01
           0.647492  4.038435e-01
           0.648490  4.037857e-01
           0.649487  4.037338e-01
           0.650484  4.036857e-01
           0.651482  4.036957e-01
           0.652479  4.037032e-01
           0.653476  4.037078e-01
           0.654473  4.037091e-01
           0.655471  4.037069e-01
           0.656468  4.037008e-01
           0.657465  4.037051e-01
           0.658463  4.037190e-01
           0.659460  4.037288e-01
           0.660457  4.037348e-01
           0.661455  4.037371e-01
           0.662452  4.037358e-01
           0.663449  4.037313e-01
           0.664446  4.037364e-01
           0.665444  4.037398e-01
           0.666441  4.037404e-01
           0.667438  4.037383e-01
           0.668436  4.037336e-01
           0.669433  4.037263e-01
           0.670430  4.037178e-01
           0.671428  4.037104e-01
           0.672425  4.037006e-01
           0.673422  4.036886e-01
           0.674420  4.036743e-01
           0.675417  4.036580e-01
           0.676414  4.036395e-01
           0.677411  4.036218e-01
           0.678409  4.036044e-01
           0.679406  4.035851e-01
           0.680403  4.035639e-01
           0.681401  4.035408e-01
           0.682398  4.035159e-01
           0.683395  4.034892e-01
           0.684393  4.034627e-01
           0.685390  4.034351e-01
           0.686387  4.034057e-01
           0.687384  4.033747e-01
           0.688382  4.033420e-01
           0.689379  4.033077e-01
           0.690376  4.032718e-01
           0.691374  4.032378e-01
           0.692371  4.032026e-01
           0.693368  4.031658e-01
           0.694366  4.031274e-01
           0.695363  4.030876e-01
           0.696360  4.030461e-01
           0.697357  4.030032e-01
           0.698355  4.029586e-01
           0.699352  4.029125e-01
           0.700349  4.028649e-01
           0.701347  4.028158e-01
           0.702344  4.027652e-01
           0.703341  4.027130e-01
           0.704339  4.026594e-01
           0.705336  4.026068e-01
           0.706333  4.025527e-01
           0.707331  4.024971e-01
           0.708328  4.024400e-01
           0.709325  4.023813e-01
           0.710322  4.023211e-01
           0.711320  4.022594e-01
           0.712317  4.021959e-01
           0.713314  4.021309e-01
           0.714312  4.020642e-01
           0.715309  4.019959e-01
           0.716306  4.019260e-01
           0.717304  4.018544e-01
           0.718301  4.017811e-01
           0.719298  4.017048e-01
           0.720295  4.016265e-01
           0.721293  4.015464e-01
           0.722290  4.014644e-01
           0.723287  4.013805e-01
           0.724285  4.012947e-01
           0.725282  4.012070e-01
           0.726279  4.011155e-01
           0.727277  4.010207e-01
           0.728274  4.009238e-01
           0.729271  4.008247e-01
           0.730268  4.007232e-01
           0.731266  4.006194e-01
           0.732263  4.005130e-01
           0.733260  4.004016e-01
           0.734258  4.002821e-01
           0.735255  4.001598e-01
           0.736252  4.000345e-01
           0.737250  3.999061e-01
           0.738247  3.997743e-01
           0.739244  3.996389e-01
           0.740242  3.994996e-01
           0.741239  3.993355e-01
           0.742236  3.991672e-01
           0.743233  3.989950e-01
           0.744231  3.988187e-01
           0.745228  3.986379e-01
           0.746225  3.984523e-01
           0.747223  3.982615e-01
           0.748220  3.980269e-01
           0.749217  3.977561e-01
           0.750215  3.974832e-01
